Day	Month	Appointment	Subspecialty
12	5	8	Sports
13	5	5	Sports
14	5	4	Sports
15	5	3	Sports
16	5	4	Sports
17	5	7	Sports
18	5	6	Sports
19	5	8	Sports
20	5	4	Sports
21	5	7	Sports
22	5	6	Sports
23	5	7	Sports
24	5	3	Sports
25	5	5	Sports
26	5	8	Sports
27	5	5	Sports
28	5	4	Sports
29	5	8	Sports
30	5	5	Sports
31	5	3	Sports
1	6	4	Sports
2	6	6	Sports
3	6	5	Sports
4	6	7	Sports
5	6	7	Sports
6	6	3	Sports
7	6	3	Sports
8	6	6	Sports
9	6	7	Sports
10	6	7	Sports
11	6	4	Sports
12	6	4	Sports
13	6	7	Sports
14	6	5	Sports
15	6	7	Sports
16	6	8	Sports
17	6	6	Sports
18	6	8	Sports
19	6	7	Sports
20	6	3	Sports
21	6	5	Sports
22	6	7	Sports
23	6	6	Sports
24	6	7	Sports
25	6	4	Sports
26	6	6	Sports
27	6	4	Sports
28	6	5	Sports
29	6	5	Sports
30	6	3	Sports
31	6	4	Sports
1	7	4	Sports
2	7	7	Sports
3	7	4	Sports
4	7	8	Sports
5	7	6	Sports
6	7	6	Sports
7	7	4	Sports
8	7	3	Sports
9	7	8	Sports
10	7	4	Sports
11	7	3	Sports
12	7	3	Sports
13	7	6	Sports
14	7	8	Sports
15	7	3	Sports
16	7	3	Sports
17	7	8	Sports
18	7	4	Sports
19	7	4	Sports
20	7	5	Sports
21	7	7	Sports
22	7	6	Sports
23	7	3	Sports
24	7	4	Sports
25	7	6	Sports
26	7	8	Sports
27	7	3	Sports
28	7	7	Sports
29	7	8	Sports
30	7	6	Sports
31	7	8	Sports
1	8	3	Sports
2	8	5	Sports
3	8	4	Sports
4	8	3	Sports
5	8	4	Sports
6	8	5	Sports
7	8	7	Sports
8	8	7	Sports
9	8	5	Sports
10	8	8	Sports
11	8	8	Sports
12	8	7	Sports
13	8	8	Sports
14	8	8	Sports
15	8	5	Sports
16	8	7	Sports
17	8	3	Sports
18	8	3	Sports
19	8	3	Sports
20	8	6	Sports
21	8	6	Sports
22	8	7	Sports
23	8	7	Sports
24	8	3	Sports
25	8	3	Sports
26	8	8	Sports
27	8	3	Sports
28	8	4	Sports
29	8	4	Sports
30	8	7	Sports
31	8	4	Sports
1	9	8	Sports
2	9	8	Sports
3	9	5	Sports
4	9	3	Sports
5	9	8	Sports
6	9	7	Sports
7	9	7	Sports
8	9	5	Sports
9	9	6	Sports
10	9	8	Sports
11	9	7	Sports
12	9	8	Sports
13	9	4	Sports
14	9	8	Sports
15	9	6	Sports
16	9	7	Sports
17	9	6	Sports
18	9	7	Sports
19	9	8	Sports
20	9	5	Sports
21	9	6	Sports
22	9	8	Sports
23	9	8	Sports
24	9	3	Sports
25	9	3	Sports
26	9	5	Sports
27	9	3	Sports
28	9	3	Sports
29	9	6	Sports
30	9	3	Sports
31	9	4	Sports
1	10	5	Sports
2	10	3	Sports
3	10	5	Sports
4	10	6	Sports
5	10	6	Sports
6	10	3	Sports
7	10	4	Sports
8	10	8	Sports
9	10	4	Sports
10	10	5	Sports
11	10	3	Sports
12	10	7	Sports
13	10	3	Sports
14	10	6	Sports
15	10	5	Sports
16	10	4	Sports
17	10	5	Sports
18	10	5	Sports
19	10	5	Sports
20	10	7	Sports
21	10	6	Sports
22	10	7	Sports
23	10	7	Sports
24	10	5	Sports
25	10	6	Sports
26	10	8	Sports
27	10	3	Sports
28	10	7	Sports
29	10	4	Sports
30	10	6	Sports
31	10	6	Sports
1	11	3	Sports
2	11	7	Sports
3	11	3	Sports
4	11	8	Sports
5	11	8	Sports
6	11	8	Sports
7	11	5	Sports
8	11	5	Sports
9	11	6	Sports
10	11	4	Sports
11	11	5	Sports
12	11	4	Sports
13	11	7	Sports
14	11	3	Sports
15	11	8	Sports
16	11	4	Sports
17	11	4	Sports
18	11	5	Sports
19	11	8	Sports
20	11	4	Sports
21	11	3	Sports
22	11	7	Sports
23	11	7	Sports
24	11	6	Sports
25	11	4	Sports
26	11	3	Sports
27	11	5	Sports
28	11	3	Sports
29	11	8	Sports
30	11	4	Sports
31	11	3	Sports
1	12	3	Sports
2	12	3	Sports
3	12	7	Sports
4	12	7	Sports
5	12	5	Sports
6	12	3	Sports
7	12	4	Sports
8	12	5	Sports
9	12	4	Sports
10	12	6	Sports
11	12	3	Sports
12	12	3	Sports
13	12	4	Sports
14	12	3	Sports
15	12	7	Sports
16	12	6	Sports
17	12	4	Sports
18	12	5	Sports
19	12	7	Sports
20	12	4	Sports
21	12	4	Sports
22	12	7	Sports
23	12	7	Sports
24	12	6	Sports
25	12	7	Sports
26	12	8	Sports
27	12	6	Sports
28	12	8	Sports
29	12	6	Sports
30	12	8	Sports
31	12	8	Sports
