Day	Month	Appointment	Subspecialty
23	9	6	Hand
24	9	8	Hand
25	9	8	Hand
26	9	8	Hand
27	9	6	Hand
28	9	6	Hand
29	9	7	Hand
30	9	3	Hand
31	9	3	Hand
1	10	4	Hand
2	10	6	Hand
3	10	8	Hand
4	10	7	Hand
5	10	5	Hand
6	10	5	Hand
7	10	3	Hand
8	10	5	Hand
9	10	6	Hand
10	10	8	Hand
11	10	7	Hand
12	10	5	Hand
13	10	4	Hand
14	10	6	Hand
15	10	7	Hand
16	10	8	Hand
17	10	7	Hand
18	10	6	Hand
19	10	4	Hand
20	10	6	Hand
21	10	7	Hand
22	10	5	Hand
23	10	6	Hand
24	10	3	Hand
25	10	5	Hand
26	10	7	Hand
27	10	6	Hand
28	10	6	Hand
29	10	5	Hand
30	10	8	Hand
31	10	6	Hand
1	11	4	Hand
2	11	6	Hand
3	11	6	Hand
4	11	7	Hand
5	11	5	Hand
6	11	6	Hand
7	11	8	Hand
8	11	5	Hand
9	11	8	Hand
10	11	6	Hand
11	11	3	Hand
12	11	6	Hand
13	11	3	Hand
14	11	6	Hand
15	11	7	Hand
16	11	7	Hand
17	11	7	Hand
18	11	7	Hand
19	11	7	Hand
20	11	4	Hand
21	11	3	Hand
22	11	5	Hand
23	11	3	Hand
24	11	3	Hand
25	11	4	Hand
26	11	8	Hand
27	11	8	Hand
28	11	8	Hand
29	11	3	Hand
30	11	5	Hand
31	11	5	Hand
1	12	8	Hand
2	12	5	Hand
3	12	8	Hand
4	12	5	Hand
5	12	6	Hand
6	12	4	Hand
7	12	4	Hand
8	12	6	Hand
9	12	4	Hand
10	12	6	Hand
11	12	6	Hand
12	12	7	Hand
13	12	8	Hand
14	12	8	Hand
15	12	3	Hand
16	12	3	Hand
17	12	4	Hand
18	12	3	Hand
19	12	8	Hand
20	12	3	Hand
21	12	6	Hand
22	12	5	Hand
23	12	8	Hand
24	12	5	Hand
25	12	8	Hand
26	12	3	Hand
27	12	7	Hand
28	12	7	Hand
29	12	7	Hand
30	12	6	Hand
31	12	6	Hand
