Mth,Clinic ,Subspecilty,Feedback Type,Comments,,,,,,,
20/3/2013,B,Sports,Compliment,Facilities Cleanliness Cleanliness Patient Short,,,,,,,
31/3/2013,B,Foot,Compliment,Operation Nurse Doctor Patient Short Short,,,,,,,
21/3/2013,A,Hand,Complain,Concern Doctor Bad Slow Bad No No Disrespect,,,,,,,
1/3/2013,B,Sports,Compliment,Queue Patient Patient Clean,,,,,,,
16/3/2013,B,Foot,Complain,Visiting Receptionist Long,,,,,,,
7/3/2013,B,Sports,Complain,Reschedule Reschedule Reschedule Venue Cancellation Disrespect Disrespect Bad Slow,,,,,,,
1/5/2013,A,Sports,Compliment,Doctor Operation Procedure Procedure Nurse Care Short Helpful,,,,,,,
1/5/2013,B,Trauma,Compliment,Booking Helpful Short Patient,,,,,,,
18/4/2013,A,Sports,Compliment,Queue Receptionist Good Helpful,,,,,,,
10/4/2013,A,Foot,Compliment,Procedure Clean Clean,,,,,,,
10/4/2013,B,Foot,Compliment,Concern Clean Patient,,,,,,,
21/4/2013,B,Sports,Compliment,Appointment Reschedule Venue Booking Fast,,,,,,,
8/4/2013,B,Sports,Compliment,Receptionist Queue Receptionist Queue Short Good,,,,,,,
16/4/2013,A,Trauma,Complain,Nurse Slow Dirty Slow Dirty Dirty No,,,,,,,
19/4/2013,A,Foot,Complain,Doctor Nurse Concern Nurse Concern Care No Long Dirty,,,,,,,
2/4/2013,B,Hand,Complain,Venue Reschedule Venue Check-up Disrespect Long Dirty Slow Dirty,,,,,,,
29/4/2013,A,Hand,Complain,Ward Disrespect,,,,,,,
9/4/2013,B,Foot,Complain,Booking Slow Disrespect Bad Slow Dirty,,,,,,,
16/4/2013,A,Trauma,Complain,Receptionist Registration Registration Registration Visiting Long Disrespect Dirty Bad,,,,,,,
29/4/2013,B,Sports,Complain,Concern Slow Dirty Disrespect Slow Slow,,,,,,,
12/4/2013,B,Hand,Complain,Procedure Doctor Doctor Care Doctor Procedure Dirty No,,,,,,,
18/4/2013,A,Sports,Complain,Venue Reschedule Appointment Dirty Bad Bad Dirty Disrespect,,,,,,,
21/4/2013,B,Foot,Compliment,Hours Clean Good Fast Fast Short Short,,,,,,,
23/4/2013,B,Foot,Complain,Hours Hours Visiting Hours Visiting Hours Slow Long Dirty Bad,,,,,,,
4/4/2013,B,Sports,Compliment,Ward Helpful,,,,,,,
20/4/2013,B,Foot,Complain,Visiting Hours Hours Visiting Long No Disrespect No,,,,,,,
8/4/2013,A,Sports,Complain,Operation Nurse Doctor Bad Dirty,,,,,,,
7/4/2013,B,Sports,Compliment,Room Facilities Facilities Brightness Facilities Room Short Fast Clean Patient,,,,,,,
6/4/2013,A,Sports,Compliment,Venue Cancellation Reschedule Venue Check-up Short Short Good Clean Fast Clean,,,,,,,
21/4/2013,B,Hand,Compliment,Concern Procedure Helpful Clean Patient Good Short,,,,,,,
7/4/2013,A,Foot,Compliment,Facilities Facilities Brightness Patient Short,,,,,,,
29/4/2013,B,Foot,Complain,Brightness Slow Slow Bad Long,,,,,,,
26/4/2013,B,Trauma,Compliment,Operation Fast Clean Patient,,,,,,,
13/4/2013,B,Hand,Compliment,Venue Venue Fast,,,,,,,
13/4/2013,B,Sports,Complain,Bed Ward Bed Facilities Long Dirty Slow Long Disrespect,,,,,,,
31/5/2013,A,Sports,Compliment,Cancellation Venue Appointment Clean Short,,,,,,,
3/5/2013,B,Sports,Compliment,Visiting Visiting Registration Queue Short Clean Clean,,,,,,,
31/5/2013,B,Trauma,Complain,Check-up Appointment Reschedule Venue Venue Check-up Disrespect Bad Dirty Dirty Bad,,,,,,,
7/5/2013,B,Sports,Complain,Reschedule Booking Venue Booking Slow Disrespect Bad Dirty Disrespect Dirty,,,,,,,
11/5/2013,B,Sports,Complain,Registration Direction Direction Registration Visiting Queue No Long No No Slow Long,,,,,,,
20/5/2013,B,Trauma,Compliment,Room Brightness Brightness Cleanliness Cleanliness Room Clean Fast Patient Patient Helpful Patient,,,,,,,
6/5/2013,B,Sports,Compliment,Concern Care Nurse Care Procedure Good Short Helpful,,,,,,,
17/5/2013,A,Hand,Complain,Queue Receptionist Hours Receptionist Hours Queue Slow Bad Long Disrespect,,,,,,,
4/5/2013,A,Trauma,Compliment,Brightness Cleanliness Cleanliness Brightness Fast Short,,,,,,,
6/5/2013,A,Foot,Compliment,Direction Visiting Direction Hours Receptionist Helpful Helpful Fast Fast Good,,,,,,,
22/5/2013,A,Hand,Complain,Direction No Slow Disrespect,,,,,,,
11/5/2013,B,Trauma,Complain,Operation Slow Disrespect Long Slow Dirty,,,,,,,
9/5/2013,A,Hand,Complain,Ward Bed Cleanliness Long Slow Dirty Long,,,,,,,
4/6/2013,A,Trauma,Complain,Procedure Care No Disrespect Disrespect No,,,,,,,
26/6/2013,A,Foot,Compliment,Queue Direction Hours Hours Good Short Short Short Patient,,,,,,,
16/6/2013,A,Trauma,Compliment,Operation Nurse Procedure Nurse Doctor Patient Good,,,,,,,
13/6/2013,A,Trauma,Compliment,Brightness Cleanliness Room Bed Bed Clean Helpful Fast Helpful,,,,,,,
15/6/2013,A,Trauma,Complain,Venue Dirty Dirty Long Disrespect,,,,,,,
30/6/2013,B,Trauma,Compliment,Operation Patient Clean Helpful,,,,,,,
23/6/2013,B,Foot,Complain,Queue Registration Hours Queue Direction Bad Slow Long,,,,,,,
24/6/2013,B,Trauma,Compliment,Room Brightness Ward Facilities Fast Fast Clean Fast,,,,,,,
26/6/2013,B,Hand,Complain,Concern Operation Care Concern Nurse Doctor No Dirty Dirty,,,,,,,
11/6/2013,B,Trauma,Compliment,Ward Brightness Fast Good Good Short Fast,,,,,,,
13/6/2013,A,Sports,Complain,Procedure Nurse Concern Operation Bad Disrespect Dirty,,,,,,,
20/6/2013,B,Sports,Complain,Check-up Reschedule Disrespect No Slow Bad Slow Dirty,,,,,,,
5/6/2013,B,Trauma,Complain,Care Procedure Doctor Bad,,,,,,,
25/6/2013,B,Sports,Complain,Nurse Doctor Procedure Doctor Procedure Procedure Slow Bad Slow Dirty No Long,,,,,,,
1/7/2013,B,Foot,Compliment,Concern Nurse Care Nurse Operation Good Patient Good Clean Patient,,,,,,,
25/6/2013,A,Sports,Complain,Direction Hours Bad Dirty No No No,,,,,,,
2/6/2013,B,Sports,Compliment,Queue Hours Direction Receptionist Hours Registration Good Clean Fast Good Helpful Good,,,,,,,
27/6/2013,A,Foot,Complain,Room Ward Room Cleanliness Cleanliness No No Long No,,,,,,,
8/7/2013,B,Trauma,Compliment,Queue Registration Direction Receptionist Registration Visiting Clean Good Patient Short,,,,,,,
29/7/2013,B,Sports,Complain,Concern Nurse Doctor Operation Procedure Disrespect Disrespect Disrespect Long,,,,,,,
29/7/2013,B,Hand,Complain,Brightness No Long Disrespect Long,,,,,,,
25/7/2013,A,Sports,Complain,Bed Cleanliness No No Disrespect Dirty,,,,,,,
29/7/2013,A,Sports,Compliment,Check-up Cancellation Check-up Patient Fast Patient,,,,,,,
20/7/2013,B,Foot,Compliment,Bed Facilities Cleanliness Bed Clean Fast Clean Patient,,,,,,,
6/7/2013,B,Hand,Complain,Appointment Booking Cancellation No Dirty Long No Long No,,,,,,,
11/7/2013,B,Sports,Complain,Venue Check-up Booking Venue Booking Disrespect No No Dirty,,,,,,,
25/7/2013,B,Trauma,Complain,Queue Registration Direction No Slow Slow,,,,,,,
26/7/2013,B,Foot,Complain,Appointment Slow Long Bad Bad,,,,,,,
25/7/2013,B,Foot,Compliment,Check-up Check-up Venue Appointment Fast Helpful Good Clean Fast Patient,,,,,,,
16/7/2013,A,Sports,Complain,Direction Queue Direction Receptionist Direction No Dirty,,,,,,,
19/8/2013,A,Foot,Complain,Check-up Reschedule Booking Disrespect Disrespect Long Dirty,,,,,,,
5/8/2013,B,Trauma,Complain,Visiting Registration Direction Queue Hours Hours Bad Slow Dirty Bad Disrespect,,,,,,,
25/8/2013,B,Trauma,Complain,Receptionist Long Bad Bad Bad No,,,,,,,
25/8/2013,A,Trauma,Compliment,Brightness Room Brightness Cleanliness Cleanliness Brightness Fast Fast Fast Good Short,,,,,,,
28/8/2013,B,Hand,Complain,Visiting Long Long Dirty Disrespect Disrespect Long,,,,,,,
3/8/2013,B,Foot,Complain,Check-up Check-up Appointment Dirty Bad No Dirty,,,,,,,
14/8/2013,A,Hand,Compliment,Operation Nurse Nurse Good Good Clean,,,,,,,
6/8/2013,B,Foot,Complain,Room Cleanliness Cleanliness Long Dirty Dirty,,,,,,,
8/8/2013,B,Trauma,Complain,Venue Venue Reschedule Booking Appointment Booking Dirty Long Disrespect Slow Long Long,,,,,,,
1/8/2013,B,Sports,Complain,Visiting Queue Visiting Receptionist Dirty No Dirty Slow Disrespect Dirty,,,,,,,
10/8/2013,A,Trauma,Complain,Cancellation Long Disrespect Dirty Dirty No,,,,,,,
15/8/2013,B,Foot,Compliment,Operation Care Operation Concern Good Short Clean Short,,,,,,,
4/8/2013,B,Hand,Complain,Venue Venue Booking No,,,,,,,
16/8/2013,A,Trauma,Complain,Receptionist Visiting Registration Visiting Direction No No Slow Slow,,,,,,,
24/8/2013,B,Hand,Compliment,Direction Receptionist Visiting Clean Short,,,,,,,
28/8/2013,A,Trauma,Complain,Booking Reschedule Booking Venue Appointment Check-up Disrespect Disrespect,,,,,,,
29/8/2013,A,Trauma,Complain,Direction Visiting Disrespect Disrespect Disrespect Bad,,,,,,,
17/8/2013,A,Hand,Complain,Procedure Concern Disrespect Slow No Dirty Dirty,,,,,,,
14/8/2013,A,Hand,Compliment,Ward Room Fast Helpful Helpful,,,,,,,
18/9/2013,B,Sports,Complain,Visiting Direction Hours Registration Visiting Disrespect Bad Dirty Slow,,,,,,,
1/9/2013,B,Trauma,Compliment,Operation Helpful,,,,,,,
25/9/2013,A,Hand,Compliment,Venue Cancellation Reschedule Cancellation Cancellation Patient Short Helpful Good,,,,,,,
7/9/2013,B,Trauma,Compliment,Ward Bed Bed Patient,,,,,,,
3/9/2013,A,Foot,Complain,Ward Bed Room Room Cleanliness Cleanliness Dirty Long Disrespect,,,,,,,
17/9/2013,A,Trauma,Compliment,Brightness Fast Clean Patient Clean Clean,,,,,,,
23/9/2013,A,Sports,Complain,Concern Operation Care Bad Slow Dirty Slow,,,,,,,
28/9/2013,B,Sports,Complain,Visiting Queue Visiting Direction No Bad No Disrespect No,,,,,,,
17/9/2013,A,Foot,Compliment,Reschedule Patient Short Good Patient,,,,,,,
20/9/2013,B,Trauma,Compliment,Venue Reschedule Check-up Venue Cancellation Fast Short Good Good Good Patient,,,,,,,
22/9/2013,A,Foot,Compliment,Care Operation Care Doctor Operation Fast Good,,,,,,,
20/9/2013,A,Trauma,Complain,Cleanliness Facilities Brightness Slow Slow,,,,,,,
2/9/2013,A,Hand,Complain,Appointment Long Slow Bad No,,,,,,,
1/10/2013,B,Trauma,Compliment,Receptionist Good Good Patient,,,,,,,
12/9/2013,A,Hand,Complain,Procedure Slow Dirty Slow Disrespect Long Disrespect,,,,,,,
7/9/2013,B,Trauma,Complain,Cancellation Venue Booking Disrespect Disrespect No No Long,,,,,,,
1/9/2013,A,Hand,Complain,Appointment Booking Booking Long,,,,,,,
21/9/2013,B,Hand,Complain,Check-up Check-up Booking Appointment Venue Disrespect Dirty Disrespect Bad Bad,,,,,,,
14/9/2013,B,Sports,Complain,Cleanliness Room Facilities Facilities Brightness Slow Disrespect,,,,,,,
23/9/2013,A,Sports,Compliment,Room Room Facilities Room Helpful Patient Fast Short Fast,,,,,,,
26/9/2013,B,Trauma,Complain,Queue Receptionist Receptionist Visiting Registration Direction Disrespect Dirty No,,,,,,,
30/9/2013,B,Trauma,Complain,Doctor Doctor Doctor Operation Care Care Bad Bad No Bad,,,,,,,
10/9/2013,A,Sports,Compliment,Direction Good Patient Patient,,,,,,,
5/9/2013,A,Hand,Complain,Appointment Venue Check-up Long No Long Bad Long,,,,,,,
18/9/2013,B,Sports,Complain,Bed Cleanliness Bed Room Long Dirty,,,,,,,
1/9/2013,A,Trauma,Complain,Brightness Slow Bad Slow,,,,,,,
10/9/2013,A,Trauma,Compliment,Procedure Nurse Nurse Doctor Nurse Procedure Patient Fast,,,,,,,
22/9/2013,B,Hand,Complain,Nurse Procedure Concern Operation Doctor Procedure Dirty Slow Bad Dirty Slow,,,,,,,
13/9/2013,B,Hand,Complain,Receptionist Hours Dirty Bad Disrespect Disrespect Slow,,,,,,,
24/9/2013,B,Foot,Compliment,Ward Brightness Cleanliness Short,,,,,,,
6/10/2013,A,Trauma,Complain,Reschedule Reschedule Appointment Booking Booking Cancellation Long No,,,,,,,
19/10/2013,B,Trauma,Compliment,Facilities Facilities Brightness Patient Patient Clean Patient,,,,,,,
2/10/2013,B,Hand,Complain,Direction Visiting Queue Long,,,,,,,
10/10/2013,B,Sports,Complain,Cleanliness Room Cleanliness Cleanliness Room Bed Slow Slow Bad,,,,,,,
14/10/2013,A,Trauma,Compliment,Reschedule Reschedule Venue Helpful Good,,,,,,,
25/10/2013,B,Trauma,Complain,Hours Receptionist Disrespect Disrespect,,,,,,,
9/10/2013,A,Hand,Compliment,Hours Direction Visiting Registration Clean Patient Patient Fast Helpful Fast,,,,,,,
17/10/2013,B,Foot,Compliment,Procedure Care Procedure Procedure Care Clean,,,,,,,
27/10/2013,A,Sports,Complain,Direction Visiting Queue Receptionist No,,,,,,,
2/10/2013,B,Sports,Complain,Hours Hours Visiting Visiting Hours Hours Long No Long Dirty,,,,,,,
29/10/2013,A,Trauma,Compliment,Facilities Ward Cleanliness Cleanliness Cleanliness Patient,,,,,,,
17/10/2013,B,Trauma,Compliment,Hours Direction Visiting Registration Visiting Helpful Helpful,,,,,,,
3/10/2013,A,Hand,Compliment,Doctor Operation Concern Concern Operation Clean Clean,,,,,,,
27/10/2013,A,Trauma,Compliment,Booking Reschedule Check-up Booking Helpful Patient Good Short Clean,,,,,,,
30/10/2013,B,Trauma,Compliment,Registration Visiting Hours Visiting Short Fast Patient,,,,,,,
27/10/2013,B,Sports,Compliment,Procedure Clean Short Short,,,,,,,
19/10/2013,B,Sports,Compliment,Bed Brightness Room Facilities Brightness Brightness Good Patient Short,,,,,,,
12/10/2013,B,Hand,Compliment,Appointment Check-up Appointment Clean Helpful Fast Clean Fast Patient,,,,,,,
2/11/2013,A,Foot,Compliment,Hours Visiting Visiting Short Patient Good Clean Good,,,,,,,
8/11/2013,B,Trauma,Compliment,Check-up Booking Fast,,,,,,,
2/11/2013,A,Hand,Complain,Brightness Slow Dirty Disrespect,,,,,,,
9/11/2013,B,Sports,Complain,Room Bad No No Dirty Disrespect Long,,,,,,,
26/11/2013,B,Hand,Complain,Brightness Bad Long,,,,,,,
10/11/2013,A,Foot,Complain,Registration Direction Queue Visiting Long Bad Bad Slow No Disrespect,,,,,,,
28/11/2013,A,Hand,Compliment,Ward Bed Facilities Room Cleanliness Helpful Short Fast Helpful Helpful Fast,,,,,,,
6/11/2013,B,Sports,Complain,Nurse Operation Care Nurse Dirty Bad Disrespect,,,,,,,
1/11/2013,A,Hand,Complain,Concern Procedure Care Operation No Dirty Disrespect No No No,,,,,,,
18/11/2013,B,Sports,Compliment,Queue Visiting Visiting Registration Registration Helpful,,,,,,,
30/11/2013,A,Hand,Complain,Room Room Bed Facilities Brightness Ward No No Long,,,,,,,
21/11/2013,A,Sports,Complain,Doctor Concern Doctor Procedure Bad Slow Bad Long Bad,,,,,,,
29/11/2013,A,Sports,Compliment,Reschedule Reschedule Short,,,,,,,
23/11/2013,B,Foot,Compliment,Booking Reschedule Patient Patient Helpful Patient,,,,,,,
1/11/2013,A,Hand,Compliment,Ward Brightness Brightness Room Brightness Brightness Good Helpful Fast Clean Clean,,,,,,,
25/11/2013,B,Trauma,Complain,Venue Reschedule Appointment Booking Booking Booking Disrespect Disrespect Dirty Disrespect Slow,,,,,,,
19/12/2013,A,Hand,Compliment,Doctor Procedure Concern Clean Helpful Short Short Good Patient,,,,,,,
18/12/2013,B,Sports,Complain,Operation Slow Disrespect Bad No Dirty Long,,,,,,,
22/12/2013,A,Trauma,Complain,Facilities Ward Ward Facilities Ward Dirty Disrespect No No,,,,,,,
31/12/2013,A,Sports,Compliment,Hours Registration Registration Queue Queue Good Good Helpful Clean,,,,,,,
26/12/2013,A,Sports,Compliment,Direction Hours Hours Good,,,,,,,
23/12/2013,A,Foot,Compliment,Bed Brightness Ward Ward Ward Good Good Good Patient,,,,,,,
16/12/2013,A,Hand,Compliment,Room Bed Helpful,,,,,,,
30/12/2013,A,Trauma,Complain,Venue Appointment No Dirty,,,,,,,
20/12/2013,B,Sports,Compliment,Booking Check-up Reschedule Check-up Appointment Appointment Patient Patient,,,,,,,
30/12/2013,B,Sports,Compliment,Queue Patient Fast Helpful Fast Short Patient,,,,,,,
3/12/2013,A,Hand,Compliment,Operation Nurse Care Nurse Doctor Good Short Fast Clean Fast Clean,,,,,,,
3/12/2013,B,Trauma,Complain,Care Care Doctor Procedure Care Concern Long Slow Disrespect Bad Bad Long,,,,,,,
25/12/2013,B,Trauma,Complain,Venue Check-up Check-up Booking Reschedule Appointment Long,,,,,,,
23/12/2013,B,Hand,Compliment,Queue Direction Good Patient Patient,,,,,,,
28/12/2013,B,Trauma,Compliment,Nurse Concern Good Helpful Clean Helpful Helpful Helpful,,,,,,,
28/12/2013,B,Hand,Compliment,Operation Doctor Clean Fast Helpful Clean,,,,,,,
15/12/2013,A,Hand,Compliment,Booking Booking Reschedule Fast Short Short Patient,,,,,,,
1/12/2013,B,Sports,Complain,Registration Registration Disrespect Disrespect Dirty Bad,,,,,,,
28/12/2013,B,Trauma,Complain,Registration Bad,,,,,,,
20/12/2013,A,Foot,Compliment,Visiting Hours Visiting Hours Hours Clean Good,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
