Day	Month	Appointment	Subspecialty
8	11	3	Foot
9	11	4	Foot
10	11	5	Foot
11	11	3	Foot
12	11	8	Foot
13	11	3	Foot
14	11	3	Foot
15	11	6	Foot
16	11	8	Foot
17	11	3	Foot
18	11	6	Foot
19	11	8	Foot
20	11	5	Foot
21	11	3	Foot
22	11	5	Foot
23	11	4	Foot
24	11	5	Foot
25	11	8	Foot
26	11	7	Foot
27	11	7	Foot
28	11	6	Foot
29	11	3	Foot
30	11	6	Foot
31	11	3	Foot
1	12	6	Foot
2	12	8	Foot
3	12	3	Foot
4	12	4	Foot
5	12	7	Foot
6	12	3	Foot
7	12	8	Foot
8	12	5	Foot
9	12	5	Foot
10	12	4	Foot
11	12	4	Foot
12	12	4	Foot
13	12	6	Foot
14	12	7	Foot
15	12	4	Foot
16	12	4	Foot
17	12	6	Foot
18	12	8	Foot
19	12	4	Foot
20	12	6	Foot
21	12	7	Foot
22	12	4	Foot
23	12	4	Foot
24	12	6	Foot
25	12	3	Foot
26	12	4	Foot
27	12	8	Foot
28	12	4	Foot
29	12	5	Foot
30	12	5	Foot
31	12	6	Foot
