Day	Month	Appointment	Subspecialty
23	5	6	Trauma
24	5	6	Trauma
25	5	6	Trauma
26	5	5	Trauma
27	5	4	Trauma
28	5	3	Trauma
29	5	3	Trauma
30	5	8	Trauma
31	5	3	Trauma
1	6	7	Trauma
2	6	8	Trauma
3	6	6	Trauma
4	6	8	Trauma
5	6	4	Trauma
6	6	5	Trauma
7	6	7	Trauma
8	6	4	Trauma
9	6	8	Trauma
10	6	5	Trauma
11	6	7	Trauma
12	6	6	Trauma
13	6	3	Trauma
14	6	3	Trauma
15	6	6	Trauma
16	6	6	Trauma
17	6	4	Trauma
18	6	7	Trauma
19	6	3	Trauma
20	6	8	Trauma
21	6	8	Trauma
22	6	6	Trauma
23	6	7	Trauma
24	6	8	Trauma
25	6	7	Trauma
26	6	8	Trauma
27	6	7	Trauma
28	6	6	Trauma
29	6	4	Trauma
30	6	4	Trauma
31	6	5	Trauma
1	7	8	Trauma
2	7	7	Trauma
3	7	4	Trauma
4	7	5	Trauma
5	7	3	Trauma
6	7	8	Trauma
7	7	4	Trauma
8	7	5	Trauma
9	7	5	Trauma
10	7	7	Trauma
11	7	7	Trauma
12	7	3	Trauma
13	7	6	Trauma
14	7	5	Trauma
15	7	8	Trauma
16	7	7	Trauma
17	7	5	Trauma
18	7	5	Trauma
19	7	8	Trauma
20	7	5	Trauma
21	7	6	Trauma
22	7	6	Trauma
23	7	4	Trauma
24	7	7	Trauma
25	7	4	Trauma
26	7	3	Trauma
27	7	7	Trauma
28	7	7	Trauma
29	7	4	Trauma
30	7	8	Trauma
31	7	4	Trauma
1	8	4	Trauma
2	8	5	Trauma
3	8	6	Trauma
4	8	3	Trauma
5	8	8	Trauma
6	8	8	Trauma
7	8	7	Trauma
8	8	8	Trauma
9	8	3	Trauma
10	8	6	Trauma
11	8	8	Trauma
12	8	8	Trauma
13	8	5	Trauma
14	8	8	Trauma
15	8	8	Trauma
16	8	8	Trauma
17	8	7	Trauma
18	8	5	Trauma
19	8	3	Trauma
20	8	4	Trauma
21	8	5	Trauma
22	8	4	Trauma
23	8	8	Trauma
24	8	3	Trauma
25	8	3	Trauma
26	8	5	Trauma
27	8	3	Trauma
28	8	6	Trauma
29	8	6	Trauma
30	8	3	Trauma
31	8	4	Trauma
1	9	8	Trauma
2	9	3	Trauma
3	9	7	Trauma
4	9	3	Trauma
5	9	3	Trauma
6	9	6	Trauma
7	9	8	Trauma
8	9	7	Trauma
9	9	6	Trauma
10	9	3	Trauma
11	9	6	Trauma
12	9	4	Trauma
13	9	4	Trauma
14	9	4	Trauma
15	9	4	Trauma
16	9	5	Trauma
17	9	8	Trauma
18	9	4	Trauma
19	9	5	Trauma
20	9	5	Trauma
21	9	8	Trauma
22	9	8	Trauma
23	9	7	Trauma
24	9	8	Trauma
25	9	6	Trauma
26	9	7	Trauma
27	9	5	Trauma
28	9	3	Trauma
29	9	4	Trauma
30	9	7	Trauma
31	9	7	Trauma
1	10	3	Trauma
2	10	7	Trauma
3	10	5	Trauma
4	10	8	Trauma
5	10	6	Trauma
6	10	4	Trauma
7	10	6	Trauma
8	10	8	Trauma
9	10	3	Trauma
10	10	3	Trauma
11	10	6	Trauma
12	10	8	Trauma
13	10	4	Trauma
14	10	5	Trauma
15	10	4	Trauma
16	10	8	Trauma
17	10	3	Trauma
18	10	6	Trauma
19	10	8	Trauma
20	10	6	Trauma
21	10	4	Trauma
22	10	7	Trauma
23	10	3	Trauma
24	10	8	Trauma
25	10	5	Trauma
26	10	3	Trauma
27	10	7	Trauma
28	10	8	Trauma
29	10	5	Trauma
30	10	8	Trauma
31	10	7	Trauma
1	11	5	Trauma
2	11	6	Trauma
3	11	3	Trauma
4	11	6	Trauma
5	11	3	Trauma
6	11	3	Trauma
7	11	3	Trauma
8	11	3	Trauma
9	11	4	Trauma
10	11	5	Trauma
11	11	4	Trauma
12	11	5	Trauma
13	11	3	Trauma
14	11	3	Trauma
15	11	6	Trauma
16	11	8	Trauma
17	11	4	Trauma
18	11	4	Trauma
19	11	7	Trauma
20	11	8	Trauma
21	11	3	Trauma
22	11	4	Trauma
23	11	4	Trauma
24	11	3	Trauma
25	11	6	Trauma
26	11	6	Trauma
27	11	8	Trauma
28	11	7	Trauma
29	11	4	Trauma
30	11	3	Trauma
31	11	6	Trauma
1	12	6	Trauma
2	12	6	Trauma
3	12	8	Trauma
4	12	5	Trauma
5	12	5	Trauma
6	12	4	Trauma
7	12	3	Trauma
8	12	7	Trauma
9	12	3	Trauma
10	12	4	Trauma
11	12	5	Trauma
12	12	6	Trauma
13	12	8	Trauma
14	12	5	Trauma
15	12	3	Trauma
16	12	4	Trauma
17	12	7	Trauma
18	12	6	Trauma
19	12	8	Trauma
20	12	6	Trauma
21	12	4	Trauma
22	12	8	Trauma
23	12	7	Trauma
24	12	6	Trauma
25	12	3	Trauma
26	12	3	Trauma
27	12	6	Trauma
28	12	4	Trauma
29	12	7	Trauma
30	12	5	Trauma
31	12	8	Trauma
